team-away,team-home,score-away,score-home
Seahawks,Cardinals,22,16
Saints,Bills,47,10
Packers,Bears,23,16
Browns,Lions,24,38
Steelers,Colts,20,17
Chargers,Jaguars,17,20
Jets,Buccaneers,10,15
Bengals,Titans,20,24
Vikings,Redskins,38,30
Texans,Rams,7,33
Cowboys,Falcons,7,27
Giants,49ers,21,31
Patriots,Broncos,41,16
Dolphins,Panthers,21,45
Titans,Steelers,17,40
Lions,Bears,27,24
Jaguars,Browns,19,7
Ravens,Packers,23,0
Cardinals,Texans,21,31
Rams,Vikings,7,24
Redskins,Saints,31,34
Chiefs,Giants,9,12
Bills,Chargers,24,54
Bengals,Broncos,20,17
Patriots,Raiders,33,8
Eagles,Cowboys,37,9
Buccaneers,Dolphins,30,20
Falcons,Seahawks,34,31
Vikings,Lions,30,23
Chargers,Cowboys,28,6
Giants,Redskins,10,20
Buccaneers,Falcons,20,34
Browns,Bengals,16,30
Titans,Colts,20,16
Bills,Chiefs,16,10
Dolphins,Patriots,17,35
Panthers,Jets,35,27
Bears,Eagles,3,31
Saints,Rams,20,26
Seahawks,49ers,24,13
Jaguars,Cardinals,24,27
Broncos,Raiders,14,21
Packers,Steelers,28,31
Texans,Ravens,16,23
Redskins,Cowboys,14,38
Vikings,Falcons,14,9
Lions,Ravens,20,44
Patriots,Bills,23,3
49ers,Bears,15,14
Buccaneers,Packers,20,26
Colts,Jaguars,10,30
Broncos,Dolphins,9,35
Panthers,Saints,21,31
Chiefs,Jets,31,38
Texans,Titans,13,24
Browns,Chargers,10,19
Rams,Cardinals,32,16
Giants,Raiders,17,24
Eagles,Seahawks,10,24
Steelers,Bengals,23,20
Saints,Falcons,17,20
Colts,Bills,7,13
Vikings,Panthers,24,31
Bears,Bengals,33,7
Packers,Browns,27,21
49ers,Texans,26,16
Seahawks,Jaguars,24,30
Raiders,Chiefs,15,26
Lions,Buccaneers,24,21
Titans,Cardinals,7,12
Jets,Broncos,0,23
Redskins,Chargers,13,30
Eagles,Rams,43,35
Cowboys,Giants,30,10
Ravens,Steelers,38,39
Patriots,Dolphins,20,27
Broncos,Colts,25,13
Bears,Lions,10,20
Chargers,Chiefs,13,30
Dolphins,Bills,16,24
Packers,Panthers,24,31
Ravens,Browns,27,10
Texans,Jaguars,7,45
Bengals,Vikings,7,34
Jets,Saints,19,31
Eagles,Giants,34,29
Cardinals,Redskins,15,20
Rams,Seahawks,42,7
Patriots,Steelers,27,24
Titans,49ers,23,25
Cowboys,Raiders,20,17
Falcons,Buccaneers,24,21
Colts,Ravens,16,23
Vikings,Packers,16,0
Buccaneers,Panthers,19,22
Browns,Bears,3,20
Lions,Bengals,17,26
Dolphins,Chiefs,13,29
Bills,Patriots,16,37
Falcons,Saints,13,23
Chargers,Jets,14,7
Rams,Titans,27,23
Broncos,Redskins,11,27
Jaguars,49ers,33,44
Giants,Cardinals,0,23
Seahawks,Cowboys,21,12
Steelers,Texans,34,6
Raiders,Eagles,10,19
Panthers,Falcons,10,22
Bengals,Ravens,31,27
Packers,Lions,11,35
Texans,Colts,13,22
Bills,Dolphins,22,16
Bears,Vikings,10,23
Jets,Patriots,6,26
Redskins,Giants,10,18
Cowboys,Eagles,6,0
Browns,Steelers,24,28
Saints,Buccaneers,24,31
Jaguars,Titans,10,15
Chiefs,Broncos,27,24
Raiders,Chargers,10,30
49ers,Rams,34,13
Cardinals,Seahawks,26,24
